Organization,Program,Scrum Team,Jira Project Name,Epic Fields,Initiative Fields,All other issue type other than Epic and Initiative
HPPS,Instant Services,Ghostbusters,Instant Ink Ghostbusters,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Instant Services,Madagascar,Instant Ink Madagascar,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Instant Services,Justice League,II Justice League - BE Printer,,,
HPPS,Instant Services,Legion of Doom,II Legion of Doom - BE Billing,,,
HPPS,Instant Services,Yogi's Gang,II Yogi's Gang,,,
HPPS,Instant Services,Garuda,IIGARUDA,,,
HPPS,Instant Services,Airavata,II Airavata,,,
HPPS,Instant Services,Aruna,IIARUNA,,,
HPPS,Instant Services,AST,AST,,,
HPPS,Instant Services,MNS,IIMNS,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX App - Android,HPPS App Tech Apple Android,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX App - Apple,HPPS App Tech Apple Android,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX Dev Capabilities,HPPS App Tech Windows,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX Windows - App Shell,HPPS App Tech Windows,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX Windows - Jweb,HPPS App Tech Windows,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Campaigns - In App Delivery,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Campaigns - Orchestration,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Campaigns - Platf & Exp QA,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,First Use Flow,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Settings & Consent,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Unified My Account,HPXApps,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Device Mgmt & Experience,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Device Mgmt 2,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,HPX DevOps,HPPS App Tech Windows,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,Instrumentation,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPX,UI Toolkit,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HP Support Assistant,HP Support Assistant,HPX Support,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,AES,HPPS Domain Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,UCDE,HPPS Domain Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,Relationship,HPPS Domain Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,App Center,HPPS Enterprise Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,HPCC/ECP/WXP,HPPS Enterprise Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,Workpath App,HPPS Enterprise Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HPPK,ENT DataScience,HPPS Enterprise Solutions,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Stratus IOT,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Connectivity IOT,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Data Processor,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Cloud & Connectivity,Data Telemetry,HPPS Cloud & Connectivity,Delivery Teams,Participating TofTs,Scrum Team
