1. Projects Project ID,1. Projects Project Name,2. Suites Automation Status ID,2. Suites Automation Status (Case),,,
89,3DSW,2,,NA,,
652,Acoustic and Media Test Eng,2,Not Automated,potential,,
549,AI Experience Center,1,Yes,automation|potential,,
549,AI Experience Center,2,No,potential,,
549,AI Experience Center,3,Partial,potential,,
549,AI Experience Center,4,Cannot Automate,NA,,
740,AIXC,1,Yes,automation|potential,,
740,AIXC,2,No,potential,,
740,AIXC,3,Partial,potential,,ToolAutomationStatus
740,AIXC,4,Cannot Automate,NA,,
876,All-In Commerce,1,Automated,automation|potential,,
876,All-In Commerce,2,Pending to Automate,potential,,
876,All-In Commerce,3,Non Automatable,NA,,
876,All-In Commerce,4,Automation In Progress,potential,,
860,Alpha DFE,1,Manual,potential,,
860,Alpha DFE,2,Automated,automation|potential,,
176,CF .Integration,1,No,potential,,
152,CFBI BIRD,1,No,potential,,
152,CFBI BIRD,2,Yes,automation|potential,,
152,CFBI BIRD,3,Partial,potential,,
196,CFBI UAT Insights,1,No,potential,,
157,CFD ARC-QA,1,No,potential,,
157,CFD ARC-QA,2,Yes,automation|potential,,
293,CFD BROKERÿ (recheck delete status on Jul 1 2025),1,No,potential,,
293,CFD BROKERÿ (recheck delete status on Jul 1 2025),2,Yes,automation|potential,,
237,CFD CBA UAT,1,No,potential,,
237,CFD CBA UAT,2,Yes,automation|potential,,
237,CFD CBA UAT,4,Will not be automated,NA,,
191,CFD Device Control Center,1,No,potential,,
191,CFD Device Control Center,2,Yes,automation|potential,,
191,CFD Device Control Center,3,Partial,potential,,
191,CFD Device Control Center,4,Will not be automated,NA,,
323,CFD EOT-QA,1,No,potential,,
323,CFD EOT-QA,2,Yes,automation|potential,,
323,CFD EOT-QA,3,Partial,potential,,
200,CFD HP DaaS Portal,1,No,potential,,
200,CFD HP DaaS Portal,2,Yes,automation|potential,,
692,CFD MPS Enterprise Catalog,1,No,potential,,
692,CFD MPS Enterprise Catalog,2,Yes,automation|potential,,
692,CFD MPS Enterprise Catalog,4,Will not be automated,NA,,
671,CFD MPS ITSM,1,No,potential,,
671,CFD MPS ITSM,2,Yes,automation|potential,,
671,CFD MPS ITSM,3,Partial,potential,,
671,CFD MPS ITSM,4,Will not be automated,NA,,
168,CFD MPS SD,1,No,potential,,
168,CFD MPS SD,2,Yes,automation|potential,,
168,CFD MPS SD,3,Partial,potential,,
168,CFD MPS SD,4,Will not be automated,NA,,
169,CFD SNOW Asset Management Workstream,2,Yes,automation|potential,,
169,CFD SNOW Asset Management Workstream,3,Partial,potential,,
315,CFS CBA E2E SIT,1,No,potential,,
315,CFS CBA E2E SIT,2,Yes,automation|potential,,
163,CFS DART DaaS,1,No,potential,,
162,CFS DART Print,1,No,potential,,
162,CFS DART Print,2,Yes,automation|potential,,
104,CFS DCMC,1,No,potential,,
104,CFS DCMC,2,Yes,automation|potential,,
104,CFS DCMC,3,Partial,potential,,
223,CFS FleetOps - NRD/FOAP,2,Yes,automation|potential,,
84,CFS FleetOps - SDS,1,No,potential,,
84,CFS FleetOps - SDS,2,Yes,automation|potential,,
84,CFS FleetOps - SDS,3,Partial,potential,,
84,CFS FleetOps - SDS,4,Will not be automated,NA,,
84,CFS FleetOps - SDS,5,Can be Automated,NA,,
173,CFS Foster Workstream,1,No,potential,,
158,CFS Managed Print Central,1,No,potential,,
158,CFS Managed Print Central,2,Yes,automation|potential,,
158,CFS Managed Print Central,3,Partial,potential,,
158,CFS Managed Print Central,4,Will not be automated,NA,,
316,CFS MPSSP E2E SIT,1,No,potential,,
316,CFS MPSSP E2E SIT,2,Yes,automation|potential,,
316,CFS MPSSP E2E SIT,4,Will not be automated,NA,,
212,CFS Service Estimator,1,No,potential,,
212,CFS Service Estimator,2,Yes,automation|potential,,
212,CFS Service Estimator,3,Partial,potential,,
141,CFT MS Transition Tool,1,No,potential,,
141,CFT MS Transition Tool,2,Yes,automation|potential,,
141,CFT MS Transition Tool,3,Partial,potential,,
640,Clariti Manager,1,To be automated,potential,,
640,Clariti Manager,2,Automated,automation|potential,,
640,Clariti Manager,3,Will not be automated,NA,,
640,Clariti Manager,4,To be reviewed,NA,,
744,Clockwork API,10,Manual,potential,,
744,Clockwork API,11,To Be Automated,potential,,
744,Clockwork API,12,Automated,automation|potential,,
412,Cloud Bank Services,1,Automated,automation|potential,,
412,Cloud Bank Services,2,Pending to Automate,potential,,
412,Cloud Bank Services,3,Non Automatable,NA,,
694,commerce-core-automation,1,Automated,automation|potential,,
694,commerce-core-automation,2,Pending to Automate,potential,,
702,CPQ,1,Automated,automation|potential,,
702,CPQ,2,Automated Edited,automation|potential,,
702,CPQ,3,Automation In Progress,potential,,
702,CPQ,4,Cannot be Automated,NA,,
702,CPQ,5,Not Automated,potential,,
702,CPQ,6,Ready for Automation,potential,,
116,CSO (PON),1,,NA,,
745,DMS Solutioning,1,,NA,,
745,DMS Solutioning,2,,NA,,
258,Dune FW Products,1,,NA,,
258,Dune FW Products,2,,NA,,
258,Dune FW Products,3,,NA,,
258,Dune FW Products,4,,NA,,
276,Ecosystem Trunk,1,Yes,automation|potential,,
276,Ecosystem Trunk,2,No,potential,,
276,Ecosystem Trunk,3,Partial,potential,,
276,Ecosystem Trunk,4,Cannot Automate,NA,,
693,ESV Contractual 2024,1,,NA,,
693,ESV Contractual 2024,2,,NA,,
875,ESV Contractual 2025,1,,NA,,
875,ESV Contractual 2025,2,,NA,,
470,Gaia Sustainability Calculator,1,No,potential,,
753,Geronimo,1,No,potential,,
753,Geronimo,2,Yes,automation|potential,,
753,Geronimo,4,N/A,NA,,
131,GOTH QA,1,Yes,automation|potential,,
131,GOTH QA,2,No,potential,,
131,GOTH QA,3,Partial,potential,,
131,GOTH QA,4,Cannot Automate,NA,,
131,GOTH QA,5,To Do,potential,,
270,Hallasan,1,Yes,automation|potential,,
270,Hallasan,2,No,potential,,
270,Hallasan,3,Partial,potential,,
270,Hallasan,5,To Do,potential,,
270,Hallasan,6,In Progress,potential,,
1020,HP AIP FE,1,No,potential,,
1020,HP AIP FE,2,Yes,automation|potential,,
1020,HP AIP FE,6,In Progress,potential,,
39,HP China IoT Print Solution,1,No,potential,,
39,HP China IoT Print Solution,2,Yes,automation|potential,,
39,HP China IoT Print Solution,3,Partial,potential,,
695,HP Connect2,10,Automation,automation|potential,,
695,HP Connect2,20,Manual,potential,,
695,HP Connect2,40,Automation Pending,potential,,
60,HP Easy Start,2,Yes,automation|potential,,
60,HP Easy Start,3,Partial,potential,,
60,HP Easy Start,4,Cannot Automate,NA,,
60,HP Easy Start,5,To Do,potential,,
272,HP Horizon,1,Yes,automation|potential,,
