,,,,,"Questions? Please reach out to Julie Flaro
",,,,,,,"Last Update: July 23, 2025",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Dates,,,,,,,,,,,Prioritization,,Pre-Planning Readiness,,,,,Planning,,,Commitments,,,,Demos,Reporting,,
,,,,Accountable,,,,,,,Division / Platform Product Mgrs,,Architects,Triads / Leaders,Triads / Leaders,Program Mgrs,,HPPS All,Teams / TofTs,Triads / Leaders,Program Mgrs,Teams / TofTs,Division / Platform Product Mgrs,,Product Mgrs,,,
,,,,Year                                                                                                                             ,Quarter,QTR End,Sprint,Timing,Fix Version,Next Quarter Planning,"BU Prioritization
(Icebox + Rank Requested)",HPPS Prioritization (Icebox + Rank2),"Architecture Complete
(Exit Review)",Planning Alignment (Ceremony),Planning Ready Checkpoint (Ceremony),"Work Breakdown Complete
(Exit Analysis)",TofTs Prepare for Planning      (Offline Activity),Planning Kickoff (Ceremony),"Team 
Planning
(Backlog)",Planning Risk Review (Ceremony),Prepare Commitments (Offline Activity),TofTs / Art Readout, HPPS Readout / Closing (Ceremony),Stakeholder Readout     (Offline Activity),Stakeholder Demos (Completed By),"Reporting Period Begins
(Day after QIP End)","Data Snapshot
(*10 days after  QTR end)",End of Qtr Results Shared with SLT
,,,,2024,"Q3
May
Jun
Jul",31-Jul,2024Q3.1,May1 - May14,24Q3.05-May28,,Feb 27,Mar 5,Apr 2,N/A,Apr 23,Apr 23,Apr 23,,,,,,,,,,,
,,,,,,,2024Q3.2,May15 - May28,,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q3.3,May29 - Jun11,24Q3.06-Jun25,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q3.4,Jun12 - Jun25,,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q3.5,Jun26 - Jul9,24Q3.07-Jul23,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q3.6,Jul10 - Jul23,,,,,,,,,,,,,,,,,,,,
,,,,,"Q4
Aug
Sep
Oct",31-Oct,2024Q4.1,Jul24 - Aug6,24Q4.08-Sep03,,Jun 6,Jun 7,Jun 21,N/A,Jul 17,Jul 17,Jul 17,Jul 25,Jul 25,Jul 25,"Aug 2, 5, 6",,Aug 7,Aug 9,29-Nov,,8-Nov,14-Nov
,,,,,,,2024Q4.2,Aug7 - Aug20,,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q4.3,Aug21 - Sep3,,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q4.4,Sep4 - Sep17,24Q4.09-Oct01,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q4.5,Sep18 - Oct 1 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q4.6,Oct2 - Oct15,24Q4.10-Oct29,,,,,,,,,,,,,,,,,,,
,,,,,,,2024Q4.7,Oct16 - Oct29,,,,,,,,,,,,,,,,,,,,
,,,,2025,"Q1
Nov
Dec
Jan",31-Jan,2025Q1.1,Oct30 - Nov12,25Q1.11-Nov26,,Aug 30,Sep 4 ,Sep 27,Oct 25,Oct 25,Oct 25,Oct 25,"Nov 4
*Adjusted for Diwali",Nov 4-7,Nov 4-7,Nov 8-15,,Nov 18,Nov 22,Feb 28,Nov 19,Feb 13,Feb 20
,,,,,,,2025Q1.2,Nov13 - Nov26,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q1.3,Nov27 - Dec10,25Q1.12-Jan07,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q1.4,Dec11 - Dec24,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q1.5,Dec25 - Jan07,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q1.6,Jan08 - Jan21,25Q1.01-Feb04,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q1.7,Jan22 - Feb04,,,,,,,,,,,,,,,,,,,,
,,,,,"Q2
Feb
Mar
Apr",30-Apr,2025Q2.1,Feb05 - Feb18,25Q2.02-Mar04,,Nov 22,Nov 27,"Dec 20
*before year end break",Jan 22,Jan 29,Jan 31,Feb 3-4,Feb 5 ,Feb 5-10,Feb 5-10,Feb 11-14,,Feb 18,Feb 21,May 30,Feb 18,May 8,N/A
,,,,,,,2025Q2.2,Feb19 - Mar04,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q2.3,Mar05 - Mar18,25Q2.03-Apr01,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q2.4,Mar19 - Apr01,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q2.5,Apr02 - Apr15,25Q2.04-Apr29,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q2.6,Apr16 - Apr29,,,,,,,,,,,,,,,,,,,,
,,,,,"Q3
May
Jun
Jul",31-Jul,2025Q3.1,Apr30 - May13,25Q3.05-May27,,Feb 18,Mar 4,Apr 1,Apr 16,Apr 23,Apr 25,Apr 28-29,Apr 30,May 6-8,May 6-8,May 9-19,May 12,May 20,May 23,Aug 29,May 20,Jul 31,Aug 7
,,,,,,,2025Q3.2,May14 - May27,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q3.3,May28 - Jun10,25Q3.06-Jun24,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q3.4,Jun11 - Jun24,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q3.5,Jun25 - Jul08,25Q3.07-Jul22,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q3.6,Jul09 - Jul22,,,,,,,,,,,,,,,,,,,,
,,,,,"Q4
Aug
Sep
Oct",31-Oct,2025Q4.1,Jul23 - Aug05,25Q4.08-Sep02,,May 13,May 27,Jun 24,Jul 9,Jul 16,Jul 18,Jul 21-22,Jul 23,Jul 24 - Jul 28,Jul 24 - Jul 28,Jul 29 - Aug 4,Jul 30,Aug 5,Aug 8,Nov 28,Aug 5,Nov 6,13-Nov 
,,,,,,,2025Q4.2,Aug06 - Aug19,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q4.3,Aug20 - Sep02,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q4.4,Sep03 - Sep16,25Q4.09-Sep30,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q4.5,Sep17 - Sep30,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q4.6,Oct01 - Oct14,25Q4.10-Oct28,,,,,,,,,,,,,,,,,,,
,,,,,,,2025Q4.7,Oct15 - Oct28,,,,,,,,,,,,,,,,,,,,
,,,,2026,"Q1
Nov
Dec
Jan",31-Jan,2026Q1.1,Oct29 - Nov11,s,,Aug 5,Aug 19,Sept 30,Oct 15,Oct 22,Oct 24,Oct 27-28,Oct 29,Oct 30 - Nov 3,Oct 30 - Nov 3,Nov 4-10,Nov 5,Nov 11,Nov 14,Feb 27,Nov 12,Feb 12,Feb 19
,,,,,,,2026Q1.2,Nov12 - Nov25,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q1.3,Nov26 - Dec09,26Q1.12-Jan06,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q1.4,Dec10 - Dec23,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q1.5,Dec24 - Jan06,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q1.6,Jan07 - Jan20,26Q1.01-Feb03,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q1.7,Jan21 - Feb03,,,,,,,,,,,,,,,,,,,,
,,,,,"Q2
Feb
Mar
Apr",30-Apr,2026Q2.1,Feb04 - Feb17,26Q2.02-Mar03,,Nov 11,Nov 25,Dec 23 (before year end break),Jan 21,Jan 28,Jan 30,Feb 2-3,Feb 4,Feb 5-9,Feb 5-9,Feb 10-16,Feb 11,Feb 17,Feb 20,May 29,Feb 19,May 7,May 14
,,,,,,,2026Q2.2,Feb18 - Mar03,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q2.3,Mar04 - Mar17,26Q2.03-Mar31,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q2.4,Mar18 - Mar31,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q2.5,Apr01 - Apr14,26Q2.04-Apr28,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q2.6,Apr15 - Apr28,,,,,,,,,,,,,,,,,,,,
,,,,,"Q3
May
Jun
Jul",31-Jul,2026Q3.1,Apr29 - May12,26Q3.05-May26,,Feb 17,Mar 3,Mar 31,Apr 15,Apr 22,Apr 24,Apr 27-28,Apr 29,Apr 30-May 4,Apr 30-May 4,May 5-11,May 6,May 12,May 15,Aug 28,May 14,Jul 30,Aug 6
,,,,,,,2026Q3.2,May13 - May26,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q3.3,May27 - Jun09,26Q3.06-Jun23,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q3.4,Jun10 - Jun23,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q3.5,Jun24 - Jul07,26Q3.07-Jul21,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q3.6,Jul08 - Jul21,,,,,,,,,,,,,,,,,,,,
,,,,,"Q4
Aug
Sep
Oct",31-Oct,2026Q4.1,Jul22 - Aug04,26Q4.08-Sep01,,May 12,May 26,Jun 23,Jul 8,Jul 15,Jul 17,Jul 20-21,Jul 22,Jul 23 - Jul 27,Jul 23 - Jul 27,Jul 28 - Aug 03,Jul 29,Aug 4,Aug 7,Nov 27,Aug 6,Nov 5,Nov 12
,,,,,,,2026Q4.2,Aug05 - Aug18,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q4.3,Aug19 - Sep01,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q4.4,Sep02 - Sep15,26Q4.09-Sep29,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q4.5,Sep16 - Sep29,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q4.6,Sep30 - Oct13,26Q4.10-Oct27,,,,,,,,,,,,,,,,,,,
,,,,,,,2026Q4.7,Oct14 - Oct27,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
